sent0,sent1,hard_neg
Laser cutters have positioning accuracy of 10 micrometers and repeatability of 5 micrometers.,Laser cutters are precise tools.,Laser cutters have positioning accuracy of 100 micrometers and repeatability of 10 micrometers.
"Ismail is the third son of Abdul Gafoor, a Tamil from Kudavasal in Tamil Nadu.",Ismail is a Tamil from Kudavasal.,Ismail is actually the second son of Abdul Gafoor.
"Within their territory players are ""safe"", meaning that they cannot be tagged by opposing players.",Players are safe from being tagged.,Opposing players can tag players within their territory.
The Politician (soundtrack),A politician's soundtrack,The Politician (book)
1999 Queensland Cup,Queensland Cup was played in 1999.,1998 World Cup
"In the meantime, Raja and Nithya get married in a temple in Chennai.",Raja and Nithya are getting married.,Raja and Nithya are actually cousins.
"Once a coffee plant is infected by CWD, death is inevitable, making prevention the most beneficial for coffee growers.",Coffee plants infected with CWD are guaranteed to die.,Coffee plants are immune to CWD.
"Sows usually begin ovulating in their second year, though some exceptionally begin at nine months.",Sows begin to ovulate.,"Sows usually begin ovulating in their first year, and some even begin at six months."
"Bugs turns to the camera and cracks: ""I know this defies the law of gravity, but, you see, I never studied law!""",Bugs turns to the camera.,Bugs doesn't turn to the camera.
"Despite this, after the XXV Congress, members of FAU decided to develop another direction and push for a new international network.",Members of FAU decided to pursue a new direction.,FAU has always been a strong supporter of the current international network.
"The agency operates Floodline, a 24-hour telephone helpline on flooding.",The agency offers a helpline for flood-related inquiries.,The agency does not operate any helplines.
"Occasionally, the Go-ongers will meet people and creatures from the other 9 Braneworlds that existence entails.",The Go-ongers interact with beings from other dimensions.,The Go-ongers have never left their own world.
The two voices overlap to perfectly explain the heartbreak in love.,The two voices harmonize to convey heartbreak.,The two voices are completely unrelated and have no connection to each other.
"In 2007, Reilly starred in the biopic parody """".",Reilly starred in a movie in 2007,Reilly has never starred in a biopic parody.
Italian eyewear giant Luxottica acquired a controlling interest in 2003.,Luxottica purchased a majority stake in 2003.,Luxottica has never existed.
Stephen R. Doty,Stephen R. Doty is a person.,Stephen R. Doty is not a real person.
The interior features a double-sided altar with gold-trimmed grillwork.,The altar has a grillwork.,The interior features a single-sided altar with no grillwork.
</poem>,A poem ends.,This is a novel written by a famous author.
